Sample	AvgSpotLen	Bases	BioProject	BioSample	Bytes	env_broad_scale	env_local_scale	Experiment	isol_growth_condt	LibraryName	SampleName	SRA_Study	strain
SRR15655236	555	2948454	PRJNA758386	SAMN21024140	1580919	Uterine	Benign	SRX11952315	2g41.END027	2g41.END027	END027	SRP334480	END027_metagenome
SRR15655239	558	4815383	PRJNA758386	SAMN21024137	2566493	Uterine	Type1	SRX11952312	2g41.END033	2g41.END033	END033	SRP334480	END033_metagenome
SRR15655240	565	3350492	PRJNA758386	SAMN21024136	1754035	Anal	Type1	SRX11952311	2g41.END034	2g41.END034	END034	SRP334480	END034_metagenome
SRR15655241	564	3951241	PRJNA758386	SAMN21024135	2105280	Cervicovaginal	Type1	SRX11952310	2g41.END035	2g41.END035	END035	SRP334480	END035_metagenome
SRR15655242	549	5276581	PRJNA758386	SAMN21024134	2728937	Uterine	Type1	SRX11952309	2g41.END036	2g41.END036	END036	SRP334480	END036_metagenome
SRR15655243	565	3110844	PRJNA758386	SAMN21024133	1652381	Anal	Benign	SRX11952308	2g41.END037	2g41.END037	END037	SRP334480	END037_metagenome
SRR15655244	564	4032095	PRJNA758386	SAMN21024132	2104570	Cervicovaginal	Benign	SRX11952307	2g41.END038	2g41.END038	END038	SRP334480	END038_metagenome
SRR15655245	560	4355941	PRJNA758386	SAMN21024131	2287162	Uterine	Benign	SRX11952306	2g41.END039	2g41.END039	END039	SRP334480	END039_metagenome
SRR15655247	565	4328844	PRJNA758386	SAMN21024130	2243296	Anal	Type2	SRX11952304	2g41.END040	2g41.END040	END040	SRP334480	END040_metagenome
SRR15655248	564	5440846	PRJNA758386	SAMN21024129	2868290	Cervicovaginal	Type2	SRX11952303	2g41.END041	2g41.END041	END041	SRP334480	END041_metagenome
SRR15655249	553	1294812	PRJNA758386	SAMN21024128	735852	Uterine	Type2	SRX11952302	2g41.END042	2g41.END042	END042	SRP334480	END042_metagenome
SRR15655250	565	4185206	PRJNA758386	SAMN21024127	2174270	Anal	Type2	SRX11952301	2g41.END043	2g41.END043	END043	SRP334480	END043_metagenome
SRR15655252	551	3965617	PRJNA758386	SAMN21024125	2080889	Uterine	Type2	SRX11952299	2g41.END045	2g41.END045	END045	SRP334480	END045_metagenome
SRR15655253	565	3712348	PRJNA758386	SAMN21024124	1948398	Anal	Type2	SRX11952298	2g41.END046	2g41.END046	END046	SRP334480	END046_metagenome
SRR15655256	565	5271193	PRJNA758386	SAMN21024121	2728202	Anal	Type1	SRX11952295	2g41.END049	2g41.END049	END049	SRP334480	END049_metagenome
SRR15655259	556	3718717	PRJNA758386	SAMN21024119	1966789	Uterine	Type1	SRX11952292	2g41.END051	2g41.END051	END051	SRP334480	END051_metagenome
SRR15655260	565	2877364	PRJNA758386	SAMN21024118	1534168	Anal	Type1	SRX11952291	2g41.END052	2g41.END052	END052	SRP334480	END052_metagenome
SRR15655261	564	4964749	PRJNA758386	SAMN21024117	2643336	Cervicovaginal	Type1	SRX11952290	2g41.END053	2g41.END053	END053	SRP334480	END053_metagenome
SRR15655262	559	3230846	PRJNA758386	SAMN21024116	1720406	Uterine	Type1	SRX11952289	2g41.END054	2g41.END054	END054	SRP334480	END054_metagenome
SRR15655263	565	4871076	PRJNA758386	SAMN21024115	2520445	Anal	Type2	SRX11952288	2g41.END058	2g41.END058	END058	SRP334480	END058_metagenome
SRR15655265	545	1783765	PRJNA758386	SAMN21024113	975340	Uterine	Type2	SRX11952286	2g41.END060	2g41.END060	END060	SRP334480	END060_metagenome
SRR15655266	565	5278047	PRJNA758386	SAMN21024112	2753551	Anal	Type1	SRX11952285	2g41.END061	2g41.END061	END061	SRP334480	END061_metagenome
SRR15655267	564	5903202	PRJNA758386	SAMN21024111	3062971	Cervicovaginal	Type1	SRX11952284	2g41.END062	2g41.END062	END062	SRP334480	END062_metagenome
SRR15655269	540	2752964	PRJNA758386	SAMN21024110	1448031	Uterine	Type1	SRX11952282	2g41.END063	2g41.END063	END063	SRP334480	END063_metagenome
SRR15655270	564	5407920	PRJNA758386	SAMN21024109	2835335	Anal	Benign	SRX11952281	2g41.END064	2g41.END064	END064	SRP334480	END064_metagenome
SRR15655272	555	4115935	PRJNA758386	SAMN21024107	2151200	Uterine	Benign	SRX11952279	2g41.END066	2g41.END066	END066	SRP334480	END066_metagenome
SRR15655273	565	2868285	PRJNA758386	SAMN21024106	1532433	Anal	Type1	SRX11952278	2g41.END067	2g41.END067	END067	SRP334480	END067_metagenome
SRR15655274	565	3904674	PRJNA758386	SAMN21024105	2024491	Cervicovaginal	Type1	SRX11952277	2g41.END068	2g41.END068	END068	SRP334480	END068_metagenome
SRR15655275	554	3271982	PRJNA758386	SAMN21024104	1750955	Uterine	Type1	SRX11952276	2g41.END069	2g41.END069	END069	SRP334480	END069_metagenome
SRR15655276	565	3305892	PRJNA758386	SAMN21024103	1743805	Anal	Type1	SRX11952275	2g41.END070	2g41.END070	END070	SRP334480	END070_metagenome
SRR15655277	564	3537322	PRJNA758386	SAMN21024102	1892208	Cervicovaginal	Type1	SRX11952274	2g41.END071	2g41.END071	END071	SRP334480	END071_metagenome
SRR15655278	552	1482736	PRJNA758386	SAMN21024101	827701	Uterine	Type1	SRX11952273	2g41.END072	2g41.END072	END072	SRP334480	END072_metagenome
SRR15655279	559	1291334	PRJNA758386	SAMN21024074	849422	Uterine	Type2	SRX11952272	2g59.END099	2g59.END099	END099	SRP334480	END099_metagenome
SRR15655280	565	4867864	PRJNA758386	SAMN21024100	2515018	Anal	Type2	SRX11952271	2g41.END073	2g41.END073	END073	SRP334480	END073_metagenome
SRR15655281	562	1581971	PRJNA758386	SAMN21024099	911058	Cervicovaginal	Type2	SRX11952270	2g41.END074	2g41.END074	END074	SRP334480	END074_metagenome
SRR15655282	557	1942880	PRJNA758386	SAMN21024098	1075710	Uterine	Type2	SRX11952269	2g41.END075	2g41.END075	END075	SRP334480	END075_metagenome
SRR15655283	565	4122182	PRJNA758386	SAMN21024097	2159208	Anal	Type1	SRX11952268	2g41.END076	2g41.END076	END076	SRP334480	END076_metagenome
SRR15655284	564	3382205	PRJNA758386	SAMN21024096	1800091	Cervicovaginal	Type1	SRX11952267	2g41.END077	2g41.END077	END077	SRP334480	END077_metagenome
SRR15655286	565	5519069	PRJNA758386	SAMN21024094	2835499	Anal	Type1	SRX11952265	2g41.END079	2g41.END079	END079	SRP334480	END079_metagenome
SRR15655287	562	3489695	PRJNA758386	SAMN21024093	1913791	Cervicovaginal	Type1	SRX11952264	2g41.END080	2g41.END080	END080	SRP334480	END080_metagenome
SRR15655288	540	1744347	PRJNA758386	SAMN21024092	961240	Uterine	Type1	SRX11952263	2g41.END081	2g41.END081	END081	SRP334480	END081_metagenome
SRR15655289	565	3184222	PRJNA758386	SAMN21024091	1674773	Anal	Type2	SRX11952262	2g41.END082	2g41.END082	END082	SRP334480	END082_metagenome
SRR15655291	565	4551556	PRJNA758386	SAMN21024090	2352649	Cervicovaginal	Type2	SRX11952260	2g41.END083	2g41.END083	END083	SRP334480	END083_metagenome
SRR15655293	565	5233410	PRJNA758386	SAMN21024088	2712998	Anal	Type1	SRX11952258	2g41.END085	2g41.END085	END085	SRP334480	END085_metagenome
